index,value
101,2.3624498853785827
102,3.849367142462255
103,2.4215741803265267
104,5.052382296023465
105,4.103412823558741
106,4.253582859779466
107,3.652617170087784
108,3.4784851837022126
109,3.746326465803024
110,3.9159194789069445
111,3.8802070997888345
112,4.034019051909176
113,3.3431348420313323
114,2.625519744860637
115,0.26139979515378275
116,-0.28274763234013855
117,-1.0123649781840878
118,2.833037438254628
119,0.8944377515097095
120,1.0897844159196182
121,-1.0359821092209383
122,-3.128744975160879
123,-2.9512652555287957
124,-4.369708315264141
125,-4.3723023079347065
126,-4.981811624663624
127,-5.8552052138349024
128,-8.736780036168966
129,-10.479873568528946
130,-10.224381042599031
131,-9.416528466333705
132,-10.11800449409374
133,-10.117914995836102
134,-8.51978888804852
135,-6.470548281133871
136,-8.031989484941704
137,-8.198961772285637
138,-6.488957610883765
139,-7.157489118613681
140,-7.232165071177261
141,-7.3547152453595865
142,-8.61808339753291
143,-9.25096938246613
144,-9.29287610971131
145,-9.881905153463613
146,-8.297304847921009
147,-8.981866525409076
148,-9.598364098581605
149,-8.606570930220188
150,-10.110022271572802
151,-10.167945413058481
152,-12.376144858671578
153,-10.714998422915356
154,-11.104458190603124
155,-11.770307975729413
156,-13.532621293917087
157,-13.543668424774697
158,-14.682651093037567
159,-15.44193142465758
160,-13.609278108766082
161,-13.859091149147966
162,-15.384480059871422
163,-15.152199727267549
164,-15.6684585918231
165,-14.8287357744065
166,-12.790075169092065
167,-14.202901289951093
168,-13.55583101482649
169,-13.435001862225016
170,-12.160409343992434
171,-12.487435641735757
172,-11.296737354096988
173,-13.780346805828506
174,-11.375864383087052
175,-10.145089593188438
176,-10.35967795072329
177,-12.421943052817719
178,-11.506796139556965
179,-10.81910190937353
180,-10.828147404249403
181,-10.612591389472076
182,-11.44391065651876
183,-10.91901520341787
184,-10.499655388448655
185,-10.897104681898192
186,-12.798871874210684
187,-11.801547704063921
188,-11.012800478434619
189,-12.203054042487274
190,-14.472513902496754
191,-14.180811453744766
192,-14.671949750667757
193,-14.312426122803268
194,-16.154084504661366
195,-17.519201137466375
196,-15.973897775666707
197,-15.399234699290577
198,-14.564530193955694
199,-11.9810492717653
200,-11.797707222521465
