index,value
1 Jan,0.16724031850533283
1 Feb,4.048346232995987
1 Mar,0.898316179990581
1 Apr,-5.074510695725855
1 Mei,-3.305331835728317
1 Jun,-3.675585362353009
1 Jul,3.569803098915105
1 Agu,-1.6477449238650985
1 Sep,0.2849136563234236
1 Okt,6.536434174328087
1 Nov,3.5482083854741298
1 Des,-1.2858996844854964
2 Jan,6.637789018752341
2 Feb,17.568898617445363
2 Mar,19.145560331859716
2 Apr,6.758769844244179
2 Mei,11.881085894139773
2 Jun,11.945055893298498
2 Jul,27.285422181152104
2 Agu,17.25420291096732
2 Sep,21.541445084842678
2 Okt,38.062688791352215
2 Nov,28.5022164166304
2 Des,16.4858833705179
3 Jan,33.70610334647593
3 Feb,47.77259248706132
3 Mar,52.107406247071054
3 Apr,43.20314766112754
3 Mei,52.74575356433564
3 Jun,57.13897194179515
3 Jul,75.52383070125423
3 Agu,67.75107952947577
3 Sep,71.8394897767516
3 Okt,89.80741660172825
3 Nov,75.49761262836493
3 Des,60.15504527548559
4 Jan,76.22635257017282
4 Feb,83.20605896844694
4 Mar,80.84679082130357
4 Apr,81.26849581553944
4 Mei,92.87239292232397
4 Jun,104.34923190516577
4 Jul,113.80775968622596
4 Agu,113.52317593624005
4 Sep,116.75713906950477
4 Okt,125.23715857317961
4 Nov,111.14509717336408
4 Des,99.17642183585775
5 Jan,107.48253102376734
5 Feb,105.00348662704972
5 Mar,92.64127229702846
5 Apr,98.363704843849
5 Mei,107.86254912608015
5 Jun,119.24518831371888
5 Jul,113.65785190143164
5 Agu,113.56873886164475
5 Sep,115.83485476394581
5 Okt,115.59977185224147
5 Nov,111.87201738986033
5 Des,108.18220677484184
6 Jan,109.02869041702455
6 Feb,105.62745773320378
6 Mar,86.15262898680398
6 Apr,88.2509530382176
6 Mei,96.70600069590226
6 Jun,97.64898009815462
6 Jul,86.52828391100621
6 Agu,78.39137034500177
6 Sep,79.05089707757253
6 Okt,80.54728666634755
6 Nov,91.06305909469154
6 Des,92.5952304060381
7 Jan,92.40008922188417
7 Feb,92.8080484569937
7 Mar,74.51985766320391
7 Apr,70.66904293904932
7 Mei,79.52300402282593
7 Jun,73.16052255732737
7 Jul,73.92270697129503
7 Agu,62.647156858249865
7 Sep,61.38573706391337
7 Okt,73.86095629800252
7 Nov,91.13580147011913
7 Des,90.33604846726752
8 Jan,100.66314848761935
8 Feb,106.80365893907432
8 Mar,96.21587814321315
8 Apr,90.76607619884301
8 Mei,98.00384347219926
8 Jun,95.97871809220257
8 Jul,115.54026712101033
8 Agu,109.23951179599808
8 Sep,107.48723825935127
8 Okt,131.3584704522226
8 Nov,141.20215196126765
8 Des,135.44405892146742
9 Jan,156.8842757762025
9 Feb,166.92161509876775
9 Mar,160.9735396257503
9 Apr,158.69904725922476
