index,value
1 Jan,14.346754231237167
1 Feb,14.877385044239013
1 Mar,16.63007334324499
1 Apr,18.742186180146863
1 Mei,17.657715684829927
1 Jun,11.596315786050999
1 Jul,2.037839027341623
1 Agu,-7.540911796937548
1 Sep,-11.610287110840254
1 Okt,-14.066790535421168
1 Nov,-15.482007107211365
1 Des,-15.023055196302511
2 Jan,-14.069552082221117
2 Feb,-14.112473999242187
2 Mar,-14.834398776603164
2 Apr,-15.732347088382316
2 Mei,-13.596610503831393
2 Jun,-8.220476965498676
2 Jul,-2.1981936287493067
2 Agu,2.3424752764535928
2 Sep,2.855010014525397
2 Okt,5.3704381661264735
2 Nov,6.751862025465825
2 Des,7.4105930851688235
3 Jan,7.053104431035875
3 Feb,6.653721706102831
3 Mar,8.205124343863503
3 Apr,9.201225539340593
3 Mei,10.450708789782485
3 Jun,7.424300333864641
3 Jul,1.3916047421983535
3 Agu,-3.4142964159327116
3 Sep,-3.007913530963051
3 Okt,-4.957138861552711
3 Nov,-7.468130562926569
3 Des,-7.422516782664701
4 Jan,-7.750412649401465
4 Feb,-11.377648613738018
4 Mar,-15.408080847093155
4 Apr,-18.246716605269945
4 Mei,-19.3632651306106
4 Jun,-11.634516724623253
4 Jul,-2.649107105776203
4 Agu,-0.8669263420227429
4 Sep,-2.920562820450824
4 Okt,-0.4076146321091423
4 Nov,1.2133485850955985
4 Des,1.9305834885153716
5 Jan,4.458770142976659
5 Feb,8.710075692365907
5 Mar,14.209573357733348
5 Apr,18.701650867377758
5 Mei,19.75014922697502
5 Jun,14.424951696300722
5 Jul,8.353875982420124
5 Agu,5.5750058101363305
5 Sep,5.150870903422388
5 Okt,1.1141910808874909
5 Nov,-2.6037761012516305
5 Des,-4.871663365630211
6 Jan,-7.6911757255614495
6 Feb,-11.147152996625529
6 Mar,-14.468077450375496
6 Apr,-16.451287225005185
6 Mei,-15.211137024713672
6 Jun,-9.13113836533399
6 Jul,-3.2494243429637155
6 Agu,-2.3604353697817544
6 Sep,-3.975267712898278
6 Okt,-2.2616808935750266
6 Nov,-2.873116959803153
6 Des,-5.635882862727235
7 Jan,-3.7614666060857527
7 Feb,-2.125419728847667
7 Mar,1.125822914877277
7 Apr,6.018088620938997
7 Mei,8.409942217399156
7 Jun,8.51576549342127
7 Jul,8.813277064792587
7 Agu,11.956432482926319
7 Sep,17.066987273133694
7 Okt,18.827938824769376
7 Nov,18.39780083089876
7 Des,15.473479573647113
8 Jan,11.361961685359097
8 Feb,11.048784114616494
8 Mar,10.695615720534752
8 Apr,6.641782850962796
8 Mei,2.539417742145806
8 Jun,2.070618561670682
8 Jul,0.4192092669994798
8 Agu,-5.647093790525396
8 Sep,-13.538431748466689
8 Okt,-16.012037819656864
8 Nov,-16.054417048642303
8 Des,-13.082018968935161
9 Jan,-6.98344361517969
9 Feb,-4.2287959377078845
9 Mar,-1.374467271979662
9 Apr,4.8484651657242255
