index,value
1 Jan,0.1839926835157185
1 Feb,1.7123564134297098
1 Mar,2.7612350517973923
1 Apr,2.977488211128052
1 Mei,1.6810758670379775
1 Jun,5.551897857737446
1 Jul,6.337727446038528
1 Agu,5.6030557637282215
1 Sep,7.980769606756298
1 Okt,5.951828790616308
1 Nov,5.882062427270003
1 Des,4.881181225065566
2 Jan,11.697027083829397
2 Feb,12.147161458169627
2 Mar,16.739663339176538
2 Apr,11.245648604773663
2 Mei,6.5636460886341474
2 Jun,16.973635539227054
2 Jul,12.514948799571627
2 Agu,13.663032701502997
2 Sep,20.257434942617614
2 Okt,18.015988970573503
2 Nov,12.926296931109835
2 Des,11.618428037581202
3 Jan,22.110751772436373
3 Feb,22.096292397174278
3 Mar,25.152706757703825
3 Apr,18.551485550935922
3 Mei,14.706454679544166
3 Jun,27.471297003409397
3 Jul,16.925703577304066
3 Agu,21.688786254542688
3 Sep,31.23152087221188
3 Okt,28.791974114948903
3 Nov,25.97718460922712
3 Des,16.10763770912316
4 Jan,31.765745214930185
4 Feb,32.32828802686791
4 Mar,27.152000134263304
4 Apr,24.552740280417257
4 Mei,20.563760515893247
4 Jun,38.06903406774036
4 Jul,22.491896379683816
4 Agu,33.10263578963172
4 Sep,41.166860161260225
4 Okt,33.74851369443735
4 Nov,33.082892398510175
4 Des,22.397537099647163
5 Jan,43.510368472495216
5 Feb,41.14306875183632
5 Mar,29.15546748936408
5 Apr,34.38171316001848
5 Mei,28.181339467778486
5 Jun,51.46884890380281
5 Jul,32.32978199673916
5 Agu,45.10307857027027
5 Sep,48.4982528206634
5 Okt,38.97979396778366
5 Nov,38.4021922236362
5 Des,28.010849315267784
6 Jan,59.17482347123303
6 Feb,44.719959466326465
6 Mar,32.06865457394541
6 Apr,42.173128701087975
6 Mei,38.66405759838223
6 Jun,63.67862269326491
6 Jul,40.16986786004613
6 Agu,60.14719649384217
6 Sep,58.91906672807279
6 Okt,45.94604784616757
6 Nov,47.040157938011845
6 Des,32.692017725908805
7 Jan,69.44161896753519
7 Feb,46.85320996667472
7 Mar,37.00327639765131
7 Apr,46.89490524531177
7 Mei,49.408319217344754
7 Jun,73.46734632535771
7 Jul,46.21911868237929
7 Agu,78.4425698797726
7 Sep,69.21202040313136
7 Okt,57.24078635423068
7 Nov,58.59448717933642
7 Des,38.44065881312151
8 Jan,75.87205129420919
8 Feb,49.922257032478775
8 Mar,39.778199581038386
8 Apr,51.70839608822465
8 Mei,60.30067097660092
8 Jun,82.95108453115874
8 Jul,49.52548402141508
8 Agu,88.5249106168024
8 Sep,79.40130048627807
8 Okt,67.00869555703076
8 Nov,68.04600659341611
8 Des,47.10173010234409
9 Jan,81.68817779998773
9 Feb,59.368088199700935
9 Mar,46.41708954414825
9 Apr,67.26116342176589
