index,value
101,1.2831484700909488
102,1.1204736333376397
103,-1.0121834926760198
104,1.9574443122467777
105,-0.6618343153835077
106,0.14239235875528763
107,-0.4072042865330229
108,-0.09489538770109576
109,0.2284909422090757
110,0.15660390876983352
111,0.006384513083697765
112,0.14505710321065193
113,-0.4729965466249986
114,-0.4925552035693019
115,-1.6972822751056678
116,-0.36563107250826177
117,-0.5013370992762642
118,2.8461478182118585
119,-1.3859344041972468
120,0.17544753432698945
121,-1.5228820462049675
122,-1.4987336802663562
123,0.16237451360291677
124,-1.0053422856667515
125,0.030616823518436562
126,-0.4134555519119342
127,-0.6065363838780866
128,-2.075897553640787
129,-1.2428849886569844
130,0.21945551128643645
131,0.623610473143523
132,-0.4807464477077685
133,0.03258030037211736
134,1.2018437628158976
135,1.5319186172105406
136,-1.109972244745357
137,-0.08965672518137752
138,1.2837035397198782
139,-0.45664135316284804
140,-0.022124647798063016
141,-0.05715361884785724
142,-0.8918759093191815
143,-0.4305599685704487
144,0.0018521857919150016
145,-0.39847039152848407
146,1.1919471019565793
147,-0.4683704285064291
148,-0.41856877202026743
149,0.7581975109595704
150,-1.0675417854200397
151,-0.009866824810906713
152,-1.5831971863189522
153,1.2479549510361911
154,-0.2524480405153526
155,-0.4546791701702118
156,-1.2569478663096603
157,0.02443176770297044
158,-0.8008646016134947
159,-0.523041136122544
160,1.373444396837367
161,-0.15027027129850756
162,-1.0835932314051824
163,0.20247143884562716
164,-0.3452253587283434
165,0.6469295312271923
166,1.5241773619539634
167,-1.0012324415244516
168,0.5059680680757336
169,0.12092400004109186
170,0.9651182692421183
171,-0.20676624899425952
172,0.9037339067324051
173,-1.784711253909938
174,1.7918446246007254
175,0.9330573837513501
176,-0.12449681005013305
177,-1.4764188467148993
178,0.7021164017484921
179,0.5356921094819073
180,0.02589633979387266
181,0.19023446401522595
182,-0.5757511269734595
183,0.4165742741094488
184,0.33935516353515827
185,-0.25829387689968664
186,-1.3589845272584657
187,0.7622444760038937
188,0.6096313262937841
189,-0.8383788768035942
190,-1.628020667721499
191,0.2459498603403128
192,-0.3268449526015772
193,0.2955737714842684
194,-1.3150036601017634
195,-0.9663240039700247
196,1.1631940181847122
197,0.45298862354385894
198,0.6432576948466612
199,1.9228155948461887
200,0.16666390708673698
